date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:24	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Nov%202023%2006:36:29%20GMT	http://st.ourhtmldemo.com/robots.txt		(from )
12:06:25	60368/60368	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/index.html	(from )
12:06:26	159618/159618	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/css/style.css	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/css/style.css	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:26	4067/4067	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/css/responsive.css	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/css/responsive.css	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:26	10902/10902	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/images/fav-icon/apple-touch-icon.png	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/images/fav-icon/apple-touch-icon.png	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:27	1826/1826	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/images/fav-icon/favicon-32x32.png	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/images/fav-icon/favicon-32x32.png	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:27	1121/1121	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/images/fav-icon/favicon-16x16.png	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/images/fav-icon/favicon-16x16.png	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:27	60368/60368	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/index.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/index-2.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:28	4937/4937	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/images/logo/logo.png	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/images/logo/logo.png	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:28	34431/34431	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/service.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/service.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:29	34745/34745	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/recycling.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/recycling.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:29	34745/34745	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Eco-System.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Eco-System.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:29	34745/34745	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Save-Water.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Save-Water.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:30	34745/34745	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Save-Animals.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Save-Animals.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:30	34745/34745	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Organic-Living.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Organic-Living.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
12:06:31	34745/34745	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2009:44:40%20GMT	http://st.ourhtmldemo.com/new/Ecogreen_Template/Good-Nature.html	C:/My%20Web%20Sites/green/st.ourhtmldemo.com/new/Ecogreen_Template/Good-Nature.html	(from http://st.ourhtmldemo.com/new/Ecogreen_Template/)
